,,,,Margin,Dollars,Dollars,Dollars,Sale_Date,Volume Sold (Liters),Volume Sold (Liters),MarginRatio,day_of_sale,DaysOpen,AverageSalesPerDay,MarginRatio,Dollars,Dollars,Margin,Volume Sold (Liters),Volume Sold (Liters),MarginRatio,Dollars,Dollars,Margin,Volume Sold (Liters),Volume Sold (Liters),Dominant_Sale_Category
,,,,Mean2015,AverageDollars2015,NumberOfSales2015,TotalDollars2015,DaysOpenTemp,AverageVolume2015,TotalVolume2015,Median2015,DaysOpenTemp,,,Median2015q1,AverageDollars2015q1,TotalDollars2015q1,Mean2015q1,AverageVolume2015q1,TotalVolume2015q1,Median2016q1,AverageDollars2016q1,TotalDollars2016q1,Mean2016q1,AverageVolume2016q1,TotalVolume2016q1,
Store Number,Zip Code,City,County Number,,,,,,,,,,,,,,,,,,,,,,,,
2555,52632,KEOKUK,56.0,4.74435661765,155.143511029,544.0,84398.07,1970-01-01 00:00:00.000000053,10.9245588235,5942.96,0.333333333333,4,4,2.61538461538,0.333333333333,112.414090909,14838.66,4.73340909091,7.0621969697,932.21,0.333333333333,204.088604651,17551.62,5.48860465116,10.7002325581,920.22,
2556,51334,ESTHERVILLE,32.0,5.15973333333,77.4721142857,525.0,40672.86,1970-01-01 00:00:00.000000053,6.13620952381,3221.51,0.333333333333,4,4,2.52403846154,0.333474396953,69.6292307692,8146.62,5.10085470085,5.28401709402,618.23,0.333333333333,62.0233913043,7132.69,4.99582608696,4.392,505.08,
2558,52641,MOUNT PLEASANT,44.0,4.98681055156,185.184748201,417.0,77222.04,1970-01-01 00:00:00.000000051,14.8736690647,6202.32,0.333333333333,4,4,2.00480769231,0.333333333333,311.86311828,29003.27,4.97591397849,30.6376344086,2849.3,0.333333333333,238.468705882,20269.84,5.05505882353,13.9063529412,1182.04,
2559,52531,ALBIA,68.0,4.55814814815,89.0574074074,135.0,12022.75,1970-01-01 00:00:00.000000045,6.51111111111,879.0,0.333333333333,2,2,1.29807692308,0.333333333333,78.9370588235,2683.86,4.74588235294,5.56617647059,189.25,0.333333333333,81.2456,2031.14,4.0508,8.26,206.5,
2560,52302,MARION,57.0,5.14697488584,132.567968037,876.0,116129.54,1970-01-01 00:00:00.000000052,9.52285388128,8342.02,0.333333333333,3,3,5.61538461538,0.333333333333,117.928308458,23703.59,4.81532338308,9.97512437811,2005.0,0.333333333333,103.527696629,18427.93,4.90325842697,7.33005617978,1304.75,
2561,50321,DES MOINES,77.0,5.23804518664,154.356453831,1018.0,157134.87,1970-01-01 00:00:00.000000055,10.4602455796,10648.53,0.333333333333,4,4,4.89423076923,0.333333333333,124.092048193,30898.92,5.19706827309,7.76220883534,1932.79,0.333333333333,110.999130435,25529.8,4.85686956522,8.15713043478,1876.14,
2562,50501,FORT DODGE,94.0,4.76397683398,212.226911197,259.0,54966.77,1970-01-01 00:00:00.000000052,20.6494208494,5348.2,0.333333333333,3,3,1.66025641026,0.333333333333,126.585,7341.93,5.10275862069,10.0172413793,581.0,0.333333333333,288.440384615,14998.9,4.13115384615,28.7067307692,1492.75,
2564,50701,WATERLOO,7.0,4.92963963964,146.785405405,333.0,48879.54,1970-01-01 00:00:00.000000051,11.955045045,3981.03,0.333408222871,3,3,2.13461538462,0.333493975904,121.51557377,7412.45,4.96606557377,9.26639344262,565.25,0.333444481494,121.698068182,10709.43,4.71340909091,8.78409090909,773.0,
2565,51301,SPENCER,21.0,4.89178916828,69.1899709865,1034.0,71542.43,1970-01-01 00:00:00.000000052,5.01880077369,5189.44,0.333333333333,3,3,6.62820512821,0.333420636423,80.7931531532,17936.08,4.70247747748,5.87653153153,1304.59,0.333333333333,60.4101486989,16250.33,4.90167286245,4.34420074349,1168.59,
2566,50138,KNOXVILLE,63.0,4.40726153846,93.4246769231,325.0,30363.02,1970-01-01 00:00:00.000000050,6.694,2175.55,0.333333333333,3,3,2.08333333333,0.333525678015,75.6921818182,4163.07,4.19272727273,5.90763636364,324.92,0.333333333333,83.3153164557,6581.91,4.33367088608,5.7153164557,451.51,
2567,52806,DAVENPORT,82.0,4.23750337382,62.6166126856,741.0,46398.91,1970-01-01 00:00:00.000000051,5.48771929825,4066.4,0.333333333333,4,4,3.5625,0.333333333333,39.9036309524,6703.81,4.00898809524,3.36696428571,565.65,0.333333333333,52.1250867052,9017.64,4.11566473988,4.22104046243,730.24,
2568,52402,CEDAR RAPIDS,57.0,3.95431893688,85.8618604651,301.0,25844.42,1970-01-01 00:00:00.000000051,8.15973421927,2456.08,0.333333333333,3,3,1.92948717949,0.333333333333,87.120952381,7318.16,4.02166666667,8.23273809524,691.55,0.333333333333,82.1792391304,7560.49,4.19543478261,7.27836956522,669.61,
2569,52402,CEDAR RAPIDS,57.0,4.75038516405,69.4367332382,701.0,48675.15,1970-01-01 00:00:00.000000052,5.14670470756,3607.84,0.333333333333,3,3,4.49358974359,0.333417211877,73.6950344828,10685.78,4.7395862069,5.59889655172,811.84,0.333333333333,90.6127142857,12685.78,4.65964285714,5.11278571429,715.79,
2571,50703,WATERLOO,7.0,4.79522,161.23624,500.0,80618.12,1970-01-01 00:00:00.000000052,11.6473,5823.65,0.333333333333,3,3,3.20512820513,0.333333333333,151.339793814,14679.96,4.62195876289,11.4228865979,1108.02,0.333333333333,205.98159292,23275.92,5.21238938053,17.310619469,1956.1,
