company,culture,job_addr,job_description,job_posted,job_security_advance,job_title,link,management,reviews_score,reviews_total,salary,salary_benefits,salary_bins,work_life_bal,salary_bins_int
DeVry University,3.7,"Downers Grove, IL","
The Data Scientist has a passion for analyzing data and through theory-based inquiry, hypothesis testing and process analytics, discover new insights and trends...",30+ days ago,3.0,Senior Manager Predictive Analytics,http://www.indeed.com/cmp/DeVry-University/jobs/Senior-Manager-Predictive-Analytic-8a85d22d1638dc2b?r=1&fccid=3ed13daa38932d90,3.4,3.8,717,-,3.5,"$70,000+",3.7,70000
University of Chicago,4.1,"Chicago, IL","
Performs complex analysis of financial data and project revenues and expenditures. These scholars pursue this mission through research, the education of basic...",17 hours ago,3.8,Budget Director,http://www.indeed.com/rc/clk?jk=7e61f5c388105e1e&fccid=5cb727313a823dd6,3.8,4.3,226,-,4.1,"$70,000+",4.1,70000
UL,2.7,"Northbrook, IL","
Analyzes data from multiple sources in order to determine causes of problems and develop solutions, and evaluates technical specifications and factors related...",13 days ago,2.0,Research Engineer II,http://www.indeed.com/rc/clk?jk=cbf6ad97060b4ce8&fccid=a915fdba6fc85629,2.3,3.1,7,-,2.8,"$70,000+",2.8,70000
Federal Reserve Bank of Chicago,3.9,"Chicago, IL","
Under the direction of the Data Scientist, collects, aggregates, and analyzes data from multiple internal sources to drive insights into business performance....",30+ days ago,3.6,Business Intelligence Analyst,http://www.indeed.com/rc/clk?jk=533d2fe81ef0efbf&fccid=2c6850e24c8a2811,3.6,4.1,314,-,4.1,"$70,000+",4.1,70000
PepsiCo,3.7,"Chicago, IL","
Effectively applies data analysis tools (e.g., spreadsheets, Accolade) to maximize efficiency. This position's primary function is to analyze data for the...",21 days ago,3.4,Senior Innovation Scientist,http://www.indeed.com/rc/clk?jk=44c3547c03c68b51&fccid=2973259ddc967948,3.4,3.9,"5,052",-,3.8,"$70,000+",3.5,70000
"ACGT, Inc.",-,"Wheeling, IL 60090","
Develop, improve, modify, and operate data analysis pipelines. Seeks an enthusiastic and experienced bioinformatics scientist who is comfortable with large data...",30+ days ago,-,Bioinformatics Scientist,http://www.indeed.com/rc/clk?jk=422f913d9c2cabce&fccid=036360b14d9e9d29,-,4.3,-,-,-,"$70,000+",-,70000
Collins Consulting Inc,4.5,"Abbott Park, IL","
Candidates should have a strong background in high-dimensional data analysis, preferably in genomics and biomarker research applications - Expertise in...",16 hours ago,4.5,Information Scientist Sr.,http://www.indeed.com/cmp/Abbott-Laboratories/jobs/Information-Scientist-Senior-bd822547d2cc2ec6?r=1&fccid=7942658690eba67c,4.5,4.5,"1,270",-,4.0,"$70,000+",4.5,70000
Smith Hanley Associates,4.1,"Chicago, IL","
Statistical Research Scientist. Provide forecasting of future trends, predictive modeling, sampling, and data estimation....",30+ days ago,4.2,Statistical Research Scientist,http://www.indeed.com/rc/clk?jk=675763d7396d31af&fccid=867d82af62a0e5c1,4.1,4.1,12,"$75,000 - $90,000 a year",3.8,"$70,000+",4.2,70000
Parsons Corporation,3.7,"Chicago, IL 60606 (Loop area)","
Building conceptual site models from data and analysis. Data compilation and evaluation, cost estimating, oral and written communications and report preparation...",12 days ago,3.2,Associate Civil or Environmental Engineer - Whiting Refinery...,http://www.indeed.com/rc/clk?jk=4dfb8bb13bec2ae1&fccid=e8f998ddd15bac9c,3.5,3.8,266,-,3.7,"$70,000+",3.8,70000
Argonne National Laboratory,3.9,"Lemont, IL","
Good experience and skills in interdisciplinary research involving mathematicians, computer scientists, and discipline scientists....",30+ days ago,3.3,Assistant Computational Scientist,http://www.indeed.com/rc/clk?jk=58c6d283ba87a539&fccid=5d1506a5df73a48e,3.6,4.2,79,-,3.9,"$70,000+",4.1,70000
Civis Analytics,5.0,"Chicago, IL","
Political technology and data. As a Software Engineering Intern, you will join our Chicago-based technology team, working collaboratively with other builders --...",29 days ago,3.0,Software Engineer Internship - Summer 2017,http://www.indeed.com/rc/clk?jk=e8a8cbce880a7c57&fccid=85806092f576a90e,3.0,4.0,-,-,3.0,"$70,000+",4.0,70000
CDK Global,3.3,"Chicago, IL","
From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....",28 days ago,3.1,Digital Marketing Consultant III,http://www.indeed.com/rc/clk?jk=dcce36e9d386a587&fccid=cf4c744760f4998e,3.2,3.4,74,-,3.4,"$70,000+",3.6,70000
Tempus,4.0,"Chicago, IL 60654 (Loop area)","
But, even as genomic sequencing has become less expensive and more widely available, cancer patients are treated in much the same way today as they were decades...",28 days ago,3.7,Digital Marketing Manager,http://www.indeed.com/rc/clk?jk=a50dc974dbc02c74&fccid=8525bdcf5722dd27,4.0,4.0,7,-,3.7,"$70,000+",4.3,70000
PepsiCo,3.7,"Chicago, IL","
Design and execute experiments, and analyze and interpret data to make sound technical recommendations on product and process issues....",29 days ago,3.4,R&D Associate Food Scientist,http://www.indeed.com/rc/clk?jk=016665d47acd0bf2&fccid=2973259ddc967948,3.4,3.9,"5,052",-,3.8,"$70,000+",3.5,70000
PepsiCo,3.7,"Chicago, IL","
As a R&D Scientist Intern, you will have the opportunity apply your technical knowledge by working on business critical projects with either beverage or snack...",29 days ago,3.4,R&D Food Science Intern,http://www.indeed.com/rc/clk?jk=e64737826098868a&fccid=2973259ddc967948,3.4,3.9,"5,052",-,3.8,"$70,000+",3.5,70000
Tempus,4.0,"Chicago, IL 60654 (Loop area)","
Experience working in a dynamic environment in support of scientists and executive level personnel. We're on a mission to connect an entire ecosystem to...",30+ days ago,3.7,Executive Administrator,http://www.indeed.com/rc/clk?jk=ebf613df5e223ddd&fccid=8525bdcf5722dd27,4.0,4.0,7,-,3.7,"$70,000+",4.3,70000
